Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,DateTime,Number Correct,Number Missing,Number Spurious,Number Overlap,Strict Precision,Strict Recall,Strict $F_1$,Lenient $F_1$,Average $F_1$,Number Training Inst,Number Training Docs,Time Training,Time Testing
[acqabr],15,2,Paum,Key,a,20120513_225013,374,219,489,92,0.39162303664921466,0.545985401459854,0.4560975609756098,0.5682926829268293,0.5121951219512195,-1,-1,10116,13587
[acqabr],15,1,ILP_config_NE_roots,Key,a,20120513_225013,138,619,164,8,0.44516129032258067,0.1803921568627451,0.2567441860465116,0.27162790697674416,0.2641860465116279,391,300,671643,27759
[acqabr],15,2,ILP_config_NE_roots,Key,a,20120513_225013,146,533,145,6,0.49158249158249157,0.21313868613138687,0.2973523421588595,0.3095723014256619,0.3034623217922607,447,300,1582739,26662
[dlramt],16,1,Paum,Key,a,20120513_231854,111,28,58,12,0.6132596685082873,0.7350993377483444,0.6686746987951808,0.7409638554216869,0.7048192771084338,-1,-1,9600,9923
[dlramt],16,2,Paum,Key,a,20120513_231854,114,11,94,7,0.5302325581395348,0.8636363636363636,0.6570605187319885,0.6974063400576368,0.6772334293948126,-1,-1,10335,9568
[dlramt],16,1,ILP_config,Key,a,20120513_231854,37,58,49,56,0.2605633802816901,0.24503311258278146,0.2525597269624573,0.6348122866894199,0.4436860068259386,132,300,1473273,31348
[dlramt],16,2,ILP_config,Key,a,20120513_231854,34,53,83,45,0.20987654320987653,0.25757575757575757,0.23129251700680273,0.5374149659863946,0.3843537414965987,151,300,130615,29105
[acquired],17,1,ILP_config_NE_roots,Key,a,20120513_234243,52,278,93,7,0.34210526315789475,0.1543026706231454,0.21267893660531698,0.2413087934560327,0.22699386503067484,299,300,67168,25439
[acquired],17,2,ILP_config_NE_roots,Key,a,20120513_234243,95,234,143,17,0.37254901960784315,0.2745664739884393,0.31613976705490854,0.37271214642262895,0.34442595673876875,295,300,1246681,28092
[acquired],17,1,Paum,Key,a,20120513_234243,170,136,168,31,0.46070460704607047,0.5044510385756676,0.48158640226628896,0.5694050991501417,0.5254957507082153,-1,-1,10678,11155
